ラベル,Label,Abbreviation
星型ポリマーの中央部,Central part of star polymer,
接合部,Junction part,
摂動広がり,Perturbed dimension,
絶縁破壊強さ,Dielectric breakdown strength,
絶縁破壊電圧,Dielectric breakdown voltage,
線膨張係数,Linear expansion coefficient,
繊維,Fiber,
繊維引張伸び,Fiber tensile elongation at break,
繊維引張弾性率,Fiber tensile modulus, 
相対粘度増分,Relative viscosity increment,
相平衡,Phase Equilibrium,PE
総称,Generic name,
損失正接,Loss tangent,
損失弾性率,Loss modulus,
損失誘電率,Loss dielectric constant,
体系名,Systematic Name,
体積弾性率,Bulk modulus,
体積抵抗率,Volume resistivity,
体積膨張係数,Volume expansion coefficient,
耐衝撃性,Impact strength,
耐熱,Heat resistance,
耐放射線性,Radiation resistance,
第二ビリアル係数,Second virial coefficient,
単結晶,Single crystal,
炭酸誘導体,Carbonates,
炭素多重結合系モノマー,Carbon multi-bonded monomers,
弾力性,Resilience,
貯蔵弾性率,Storage modulus,
貯蔵誘電率,Storage dielectric constant,
調節,Conditioning,
超遠心分離,Ultra-centrifuge, 
超遠心法,Ultracentrifugal method,
超音波測定,Ultrasonic measurement,
沈降,Sedimentation,
沈降係数,Sedimentation coefficient,
沈降係数−モル質量,Sedimentation coefficient-molar mass,SM
通過光強度測定,Passing light intensity measurement,
抵抗率,Specific resistivity,
添加剤,Additives,
転移温度,Transition Temperature,
電気的性質,Electrical property,
電気伝導度,Electric conductivity, 
等温重量減少,Isothermal weight loss,
等温重量分析,Isothermogravimetric analysis,
透湿度,Water vapor transmission, 
動的引張特性,Dynamic tensile property, 
動的機械特性,Dynamic mechanical properties,
動的曲げ特性,Dynamic flexural properties,
動的剪断特性,Dynamic shear properties,
動粘性率,Dynamic viscosity,
曇点,Cloud point,C.P.
軟化温度,Softening temperature,
二重円筒回転粘度計,Dual-cylinder rotational viscometer,
日化辞番号,JST Substance No.,
乳化重合,Emulsion polymerization,
尿素,Ureas,
熱拡散率,Thermal diffusivity,
熱処理,Thermal treatment,
熱的性質,Thermal property,
熱伝達,Heat transfer,
熱伝導,Heat conduction,
熱伝導度,Thermal conductivity,
熱特性,Heat characteristic,
熱分解,Thermal decomposition,
熱分解温度,Thermal decomposition temperature,
熱変形温度,heat deflection temperature,HDT
熱膨張,Thermal expansion,
熱膨張率,thermal expansion coefficient,
燃焼特性,Combustion characteristics,
粘度,Viscosity,
粘度平均分子量,Viscosity-average molecular weight,Mv
破壊伸び,Elongation at break, 
破断点曲げ応力,Flexural stress at break,
破断点曲げ強さ,Flexural strength at break,
配位重合,Coordination polymerization,
配向度,orientation,
反応条件,Reaction condition,
反射,Reflection,
比重,Specific gravity,
比体積,Specific volume,
比熱容量,Specific heat capacity,Cp
比粘度,Specific viscosity,
比誘電率,Dielectric constant,
非摂動広がり,Unperturbed dimension,
非溶媒,Non-solvent ,
表面張力,Surface tension,
表面抵抗率,Surface resistivity,
貧溶媒,Poor solvent,
付加重合,Addition polymerization,
付加重合型,Addition polymerization type,
沸点上昇法,Ebullioscopy,
物性,Property,
物理化学的性質,Physicochemical property,
物理的性質,Physical property,
分岐の線型書式,Branching Line Format,
分岐結合情報,branched linkage information,
分岐部,Branching part,
平均分子量,Average molecular weight,Mz
平衡融点,Equilibrium melting temperature,
芳香族エーテル,Aromatic ethers,
膨張計,Dilatometer,
膨張率測定,Dilatometry,
膜浸透,Membrane osmosis,
膜浸透圧法,Membrane osmometry,
末端間ベクトル,End-to-end vector, 
末端間距離,End-to-end distance,
末端基,End group,
密度,Density,
密度と屈折率の関係,Density-Refractive Index relation,
密度測定,Density measurement,
誘電緩和,Dielectric relaxation,
誘電正接,Dielectric dissipation factor,
誘電正接,Dielectric loss tangent,
誘電損率,Dielectric loss factor,
誘電特性,Dielectric properties,
誘電分散,Dielectric dispersion,
誘電率,Dielectric constant,DC
溶液重合,Solution polymerization,
溶液粘度,Solution viscosity,
溶液流延,Solvent casting,
溶解度パラメータ,Solubility parameter,
溶媒,Solvent,
溶融温度,Melting temperature,
溶融熱,Heat of fusion,
溶融粘度,Melt viscosity, 
溶融流れ速度,Melt flow rate,MFR
立体規則性,isotactic,
立体規則性情報,stereographic information,
略号,abbreviation,
略称,Abbreviation,
良溶媒,Good solvent,
臨界角屈折法,Critical angle refraction method,
臨界表面張力,Critical surface tension,
剪断特性,Shear property,
Θ温度,Theta-temperature,
Θ溶媒,Theta-solvent,
,As polymerized,
,As received,
,Bar,
,Block,
,Blow,
,bottole,
,Bridge,
,Bulk,
,Calender,
,Cannon-Ubbelohde,
,Corrections to A Guide to IUPAC Nomenclature of Organic Compounds,
,Disk,
,eta inh,
,Film,
,G value,
,Inflation film,
,Injection,
,IUPAC Nomenclature of Organic Chemistry,
,Laser Flash,
,lyotropic,
,nematic,
,Ostwald,
,Pellet,
,Plate,
,Powder,
,PVT relation,
,Quenching,
,Rockwell,
,Roll,
,Sheet,
,smectic,
,Solution,
,Spin casting,
,Spin coating,
,Spinning,
,Step,
,Stretching,
,Swelling,
,syndiotactic,
,Tensile tester DMA,
,thermotropic,
,Ubbelohde,
,UL Flammability code rating,
,UL temperature index,
,,TMA
,,TG
,,DTA
,,DSC
,,DMA
